"keys","ko","en"
"  ·  방어구가 마지막 공격에서 %d 방어","  ·  방어구가 마지막 공격에서 %d 방어","  ·  Armor blocked %d on the last hit"
"가방의 재료·탄약·귀중품은 현장에, 장비(무기·방어구·부착물)는 전부 손에 남았습니다. 다음 탐사에서 사망 지점의 가방을 한 번 회수할 수 있습니다.","가방의 재료·탄약·귀중품은 현장에, 장비(무기·방어구·부착물)는 전부 손에 남았습니다. 다음 탐사에서 사망 지점의 가방을 한 번 회수할 수 있습니다.","Bag materials, ammo and valuables stayed on site; all gear (weapons, armor, attachments) is still in hand. Next sortie you can recover the bag at the death site once."
"기록","기록","Records"
"기록 닫기","기록 닫기","Close records"
"확인한 기록","확인한 기록","Read"
"이름 없는 기록","이름 없는 기록","Untitled record"
"출처 불명","출처 불명","Source unknown"
"기록이 심하게 망가져서 읽을 수 없다.","기록이 심하게 망가져서 읽을 수 없다.","The record is too damaged to read."
"발견한 세계 기록  %d / %d","발견한 세계 기록  %d / %d","World records found  %d / %d"
"전술지도","전술지도","Map"
"일시 정지","일시 정지","Paused"
"계속하기","계속하기","Resume"
"7.62mm 탄약 획득","7.62mm 탄약 획득","Take 7.62mm ammo"
"7.62mm 탄약 획득  [F]","7.62mm 탄약 획득  [F]","Take 7.62mm ammo  [F]"
"상호작용","상호작용","Interact"
"1.0초","1.0초","1.0s"
"위험도","위험도","Threat"
"발사","발사","Fire"
"AK-47 발사","AK-47 발사","Fire AK-47"
"근접","근접","Melee"
"야구 방망이 휘두르기","야구 방망이 휘두르기","Swing the bat"
"회피","회피","Dodge"
"구르기 회피","구르기 회피","Roll dodge"
"돌발 사건 · 약탈대 충돌","돌발 사건 · 약탈대 충돌","Incident · Raider Clash"
"적이 증원을 요청 중입니다!","적이 증원을 요청 중입니다!","The enemy is calling for reinforcements!"
"!! 표식의 적을 처치해 저지하라","!! 표식의 적을 처치해 저지하라","Kill the !! marked enemy to stop it"
"%0.1f초 · !! 표식의 적을 처치해 저지하라","%0.1f초 · !! 표식의 적을 처치해 저지하라","%0.1fs · Kill the !! marked enemy to stop it"
"정산","정산","Payout"
"탈출 성공","탈출 성공","Extraction Successful"
"이번 판으로 성장한 것","이번 판으로 성장한 것","What this run grew"
"탭하면 쉘터로 복귀","탭하면 쉘터로 복귀","Tap to return to the shelter"
"쉘터로 돌아가기","쉘터로 돌아가기","Return to Shelter"
"위에서 성장을 %d개 더 골라야 나갈 수 있습니다.","위에서 성장을 %d개 더 골라야 나갈 수 있습니다.","Pick %d more upgrades above before you can leave."
"성장 선택 후 복귀","성장 선택 후 복귀","Pick Upgrades First"
"화면을 탭하거나 오른쪽 버튼으로 쉘터에 돌아갑니다.","화면을 탭하거나 오른쪽 버튼으로 쉘터에 돌아갑니다.","Tap the screen or use the right button to return to the shelter."
"먼저 성장을 고르세요 · 남은 선택 %d개","먼저 성장을 고르세요 · 남은 선택 %d개","Pick your upgrades first · %d left"
"정찰","정찰","Recon"
"엄폐","엄폐","Cover"
"내밈","내밈","Leaning"
"주홍","주홍","Juhong"
"대기","대기","Idle"
"지도","지도","Map"
"장전","장전","Reload"
"가방","가방","Bag"
"구르기","구르기","Roll"
"투척·배치 (짧게 또 = 품목)","투척·배치 (짧게 또 = 품목)","Throw / Deploy (tap again = item)"
"우클릭","우클릭","R-Click"
"정조준","정조준","Aim"
"쉘터 운영","쉘터 운영","Shelter Ops"
"캣닢 피버","캣닢 피버","Catnip Fever"
"캣닢 붓기","캣닢 붓기","Pour Catnip"
"대기 %d","대기 %d","Idle %d"
"피버 %.0fx","피버 %.0fx","Fever %.0fx"
"%.0f초","%.0f초","%.0fs"
"진행 중","진행 중","Running"
"캣닢 피버 진행 중 — 모든 생산이 폭주합니다.","캣닢 피버 진행 중 — 모든 생산이 폭주합니다.","Catnip Fever running — every rig is going wild."
"캣닢 %s 붓기","캣닢 %s 붓기","Pour %s Catnip"
"캣닢 %s를 부어 게이지 %d%% 충전 · 만충 시 %.0f배 생산 %.0f초","캣닢 %s를 부어 게이지 %d%% 충전 · 만충 시 %.0f배 생산 %.0f초","Pour %s Catnip to charge the gauge %d%% · at full, %.0fx output for %.0fs"
"잠김 · %s 후 이용할 수 있습니다.","잠김 · %s 후 이용할 수 있습니다.","Locked · available after %s."
"가능 %d","가능 %d","%d ready"
"만재","만재","Full"
"가방 열기  [E]","가방 열기  [E]","Open bag  [E]"
"들고 있는 것","들고 있는 것","What You Carry"
"아이템을 누르면 아래에서 살펴보고 장착한다.","아이템을 누르면 아래에서 살펴보고 장착한다.","Tap an item to inspect and equip it below."
"가방 닫기 [Esc]","가방 닫기 [Esc]","Close bag [Esc]"
"장비","장비","Gear"
"보관 중","보관 중","Stowed"
"가방에 보관 중인 아이템이 없습니다.","가방에 보관 중인 아이템이 없습니다.","Nothing stowed in the bag."
"가방 슬롯에는 아이콘과 수량만 표시됩니다.","가방 슬롯에는 아이콘과 수량만 표시됩니다.","Bag slots show only an icon and a count."
"버리기","버리기","Drop"
"주무기","주무기","Primary"
"총기 상세","총기 상세","Weapon Detail"
"장착 해제","장착 해제","Unequip"
"현재 무기를 가방으로 내립니다.","현재 무기를 가방으로 내립니다.","Puts the current weapon back in the bag."
"총기 상세 접기","총기 상세 접기","Collapse weapon detail"
"부착 슬롯","부착 슬롯","Attachment Slots"
"완성 부착물만 가방에서 장착할 수 있습니다. 제작 재료는 쉘터 작업대에서 완성품 제작에 사용합니다.","완성 부착물만 가방에서 장착할 수 있습니다. 제작 재료는 쉘터 작업대에서 완성품 제작에 사용합니다.","Only finished attachments can be equipped from the bag. Crafting materials are used at the shelter workbench to build them."
"변경된 부품과 방어 수치는 즉시 전투 능력에 반영됩니다.","변경된 부품과 방어 수치는 즉시 전투 능력에 반영됩니다.","Part and armor changes take effect in combat immediately."
"%s만 보기","%s만 보기","Show %s only"
"전체","전체","All"
"몸 방어구","몸 방어구","Body Armor"
"머리 방어구","머리 방어구","Helmet"
"신발","신발","Footwear"
"9mm FMJ 탄환","9mm FMJ 탄환","9mm FMJ"
".45 ACP FMJ 탄환",".45 ACP FMJ 탄환",".45 ACP FMJ"
"7.62mm FMJ 탄환","7.62mm FMJ 탄환","7.62mm FMJ"
"12게이지 벅샷","12게이지 벅샷","12 Gauge Buckshot"
"총기에 장전하는 소모 탄약입니다. 무기 구경과 맞아야 사용할 수 있습니다.","총기에 장전하는 소모 탄약입니다. 무기 구경과 맞아야 사용할 수 있습니다.","Consumable ammo. It has to match the weapon's caliber."
"먹는 물건이 아닙니다. T로 던져 적을 유인하고, 귀환하면 쉘터 훈련 재고로 들어가 훈련 비용이 됩니다.","먹는 물건이 아닙니다. T로 던져 적을 유인하고, 귀환하면 쉘터 훈련 재고로 들어가 훈련 비용이 됩니다.","Not for eating. Throw with T to bait enemies; what you bring home becomes the shelter's training stock."
"전투 중 체력을 회복하는 응급 치료품입니다. SHIFT 또는 모바일 치료 버튼으로 사용합니다.","전투 중 체력을 회복하는 응급 치료품입니다. SHIFT 또는 모바일 치료 버튼으로 사용합니다.","Emergency care that restores health in combat. Use SHIFT or the mobile heal button."
"희귀 구역과 보스에게서 확보하는 쉘터 확장 재화입니다.","희귀 구역과 보스에게서 확보하는 쉘터 확장 재화입니다.","Shelter expansion currency taken from rare zones and bosses."
"사용 탄약 · %s
선택 후 장착하면 현재 주무기와 교체됩니다.","사용 탄약 · %s
선택 후 장착하면 현재 주무기와 교체됩니다.","Ammo · %s
Equipping this swaps out your current primary."
"소모성 중장비입니다.","소모성 중장비입니다.","Single-use heavy equipment."
"귀중품 · 개당 가치 %d — 쉘터 창고에서 고철로 판다.","귀중품 · 개당 가치 %d — 쉘터 창고에서 고철로 판다.","Valuable · %d each — sell for scrap at the shelter storage."
"인간 격리구역에서 회수한 대형 화물입니다. 탈출해야 내용물을 확인할 수 있습니다.","인간 격리구역에서 회수한 대형 화물입니다. 탈출해야 내용물을 확인할 수 있습니다.","Bulk cargo pulled from the human quarantine zone. You have to extract to see what is inside."
"쉘터 고철 %d","쉘터 고철 %d","Shelter scrap %d"
"현재 장착 중인 총기입니다. 오른쪽에서 부착 상태를 확인할 수 있습니다.","현재 장착 중인 총기입니다. 오른쪽에서 부착 상태를 확인할 수 있습니다.","Your equipped weapon. Check its attachments on the right."
"%s 선택","%s 선택","%s selected"
"현재 장착된 장비가 없습니다. 가방의 아이템을 선택해 장착할 수 있습니다.","현재 장착된 장비가 없습니다. 가방의 아이템을 선택해 장착할 수 있습니다.","Nothing equipped here. Pick an item from the bag to equip it."
"%s 슬롯은 비어 있습니다.","%s 슬롯은 비어 있습니다.","The %s slot is empty."
"사용 탄약 · %s
현재 탄창 %02d / %02d
예비 %03d발  ·  완전 탄창 %d개 + 낱탄 %d발
내구도 %.1f%%  ·  탄퍼짐 %.1f°
피해 %d  ·  반동 %.2f  ·  장전 %.1fs","사용 탄약 · %s
현재 탄창 %02d / %02d
예비 %03d발  ·  완전 탄창 %d개 + 낱탄 %d발
내구도 %.1f%%  ·  탄퍼짐 %.1f°
피해 %d  ·  반동 %.2f  ·  장전 %.1fs","Ammo · %s
Magazine %02d / %02d
Reserve %03d  ·  %d full mags + %d loose
Durability %.1f%%  ·  Spread %.1f°
Damage %d  ·  Recoil %.2f  ·  Reload %.1fs"
"아이템","아이템","Item"
"고른 것 없음","고른 것 없음","Nothing selected"
"아이템을 누르면 여기서 살펴보고 장착합니다.","아이템을 누르면 여기서 살펴보고 장착합니다.","Tap an item to inspect and equip it here."
"현재 장착 중인 주무기입니다. 해제하면 가방으로 돌아갑니다.","현재 장착 중인 주무기입니다. 해제하면 가방으로 돌아갑니다.","Your equipped primary. Unequip and it goes back in the bag."
"해제","해제","Unequip"
"  ·  장착하면 현재 주무기와 교체됩니다.","  ·  장착하면 현재 주무기와 교체됩니다.","  ·  Equipping this swaps out your current primary."
"장착","장착","Equip"
"%s  ·  %s 슬롯  ·  완성 부착물 %d개 보유","%s  ·  %s 슬롯  ·  완성 부착물 %d개 보유","%s  ·  %s slot  ·  %d finished attachments held"
"교체","교체","Swap"
"수량이 부족합니다.","수량이 부족합니다.","Not enough."
"제작 재료 · %s","제작 재료 · %s","Material · %s"
"%s

제작 재료 · 총기에 직접 장착할 수 없습니다.
","%s

제작 재료 · 총기에 직접 장착할 수 없습니다.
","%s

Crafting material · cannot be fitted to a weapon directly.
"
"쉘터 작업대에서 완성 부착물을 제작할 때 사용합니다.
","쉘터 작업대에서 완성 부착물을 제작할 때 사용합니다.
","Used at the shelter workbench to build finished attachments.
"
"보유 수량 %d개","보유 수량 %d개","Held %d"
"%s
보유 수량 %d발","%s
보유 수량 %d발","%s
Held %d rounds"
"총기용 탄약입니다.","총기용 탄약입니다.","Weapon ammo."
"%s
보유 수량 %d개","%s
보유 수량 %d개","%s
Held %d"
"레이드에서 사용하는 자원입니다.","레이드에서 사용하는 자원입니다.","A resource used on raids."
"희귀 재화입니다.","희귀 재화입니다.","Rare currency."
"%s
특수 화물 · 탈출 시 정산","%s
특수 화물 · 탈출 시 정산","%s
Special cargo · paid out on extraction"
"봉인된 대형 화물입니다.","봉인된 대형 화물입니다.","Sealed bulk cargo."
"진행에 필요한 중요 아이템입니다.","진행에 필요한 중요 아이템입니다.","A key item needed to progress."
"%s

필드에서 T(투척 버튼)로 선택해 사용합니다. 소모품 — 사망 시 시체로 갑니다.
보유 수량 %d개","%s

필드에서 T(투척 버튼)로 선택해 사용합니다. 소모품 — 사망 시 시체로 갑니다.
보유 수량 %d개","%s

Select with T (throw button) in the field. Consumable — lost with your body if you die.
Held %d"
"생존 장비입니다.","생존 장비입니다.","Survival gear."
"중요 임무 물품은 버릴 수 없습니다.","중요 임무 물품은 버릴 수 없습니다.","Key mission items cannot be dropped."
"장착을 해제한 뒤 버릴 수 있습니다.","장착을 해제한 뒤 버릴 수 있습니다.","Unequip it first to drop it."
"버릴 수 없는 아이템입니다.","버릴 수 없는 아이템입니다.","This item cannot be dropped."
"한 번 더: x%d 버리기","한 번 더: x%d 버리기","Again: drop x%d"
"%s 장착","%s 장착","%s equipped"
"%s 해제","%s 해제","%s unequipped"
"해제할 장비가 없습니다.","해제할 장비가 없습니다.","Nothing to unequip."
"받는 피해 -%d%%","받는 피해 -%d%%","Damage taken -%d%%"
"이동 속도 %s%d%%","이동 속도 %s%d%%","Move speed %s%d%%"
"대시 스태미나 %s%d%%","대시 스태미나 %s%d%%","Dash stamina %s%d%%"
"피탐지 %s%d%%","피탐지 %s%d%%","Visibility %s%d%%"
"냄새 흔적 %s%d%%","냄새 흔적 %s%d%%","Scent trail %s%d%%"
"피해 %+d","피해 %+d","Damage %+d"
"연사 %+.1f/s","연사 %+.1f/s","Fire rate %+.1f/s"
"장탄 %+d","장탄 %+d","Mag %+d"
"장전 %+.1fs","장전 %+.1fs","Reload %+.1fs"
"현재 %s 대비  %s","현재 %s 대비  %s","vs current %s  %s"
"현재 장착 중","현재 장착 중","Currently equipped"
"현재 비어 있는 %s 슬롯에 장착 가능","현재 비어 있는 %s 슬롯에 장착 가능","Fits your empty %s slot"
"피해 감소 %s%d%%p","피해 감소 %s%d%%p","Damage reduction %s%d%%p"
"이동 속도 %s%d%%p","이동 속도 %s%d%%p","Move speed %s%d%%p"
"스태미나 효율 %s%d%%p","스태미나 효율 %s%d%%p","Stamina efficiency %s%d%%p"
"현재 %s와 동일한 기본 성능","현재 %s와 동일한 기본 성능","Same base stats as your current %s"
"주무기를 가방에 보관했습니다.","주무기를 가방에 보관했습니다.","Primary stowed in the bag."
"해제할 무기가 없습니다.","해제할 무기가 없습니다.","No weapon to unequip."
"%s
비어 있음","%s
비어 있음","%s
Empty"
"%s
%s
클릭: 해제","%s
%s
클릭: 해제","%s
%s
Click: remove"
"완성 부착물이 없습니다. 제작 재료는 쉘터 작업대에서 먼저 제작해야 합니다.","완성 부착물이 없습니다. 제작 재료는 쉘터 작업대에서 먼저 제작해야 합니다.","No finished attachment. Build one from materials at the shelter workbench first."
"설치 가능","설치 가능","Can fit"
"모듈 정보가 없습니다.","모듈 정보가 없습니다.","No module data."
"먼저 주무기를 장착하세요.","먼저 주무기를 장착하세요.","Equip a primary first."
"알 수 없는 모듈입니다.","알 수 없는 모듈입니다.","Unknown module."
"작업대 레벨 5가 필요합니다.","작업대 레벨 5가 필요합니다.","Workbench Lv.5 required."
"슬롯 충돌 또는 장착 불가 부품입니다.","슬롯 충돌 또는 장착 불가 부품입니다.","Slot conflict, or the part cannot be fitted."
"장착 실패: %s","장착 실패: %s","Fit failed: %s"
" (보유하지 않음)"," (보유하지 않음)"," (not held)"
" · 제작 재료 (직접 장착 불가)"," · 제작 재료 (직접 장착 불가)"," · crafting material (cannot be fitted)"
"장착 불가","장착 불가","Cannot fit"
"재료","재료","Material"
"조준경","조준경","Optic"
"소염기","소염기","Muzzle"
"개머리판","개머리판","Stock"
"탄창","탄창","Magazine"
"전술","전술","Tactical"
"특수 모듈","특수 모듈","Special Module"
"폐점포 2x 스코프","폐점포 2x 스코프","Shopfront 2x Scope"
"소리 방지용 양말","소리 방지용 양말","Muffling Sock"
"스펀지 턱받이","스펀지 턱받이","Sponge Bib"
"테이프 듀얼 탄창","테이프 듀얼 탄창","Taped Dual Mag"
"딸랑이 방울","딸랑이 방울","Jingle Bell"
"AK 정밀 수신부","AK 정밀 수신부","AK Precision Receiver"
"소음기용 고무 패킹","소음기용 고무 패킹","Rubber Gasket"
"스코프 렌즈","스코프 렌즈","Scope Lens"
"탄창 스프링","탄창 스프링","Magazine Spring"
"소음기와 완충 개머리판의 제작 재료로 쓰는 탄성 부품입니다.","소음기와 완충 개머리판의 제작 재료로 쓰는 탄성 부품입니다.","An elastic part used to build suppressors and cushioned stocks."
"배율 조준경과 정밀 모듈의 제작 재료로 쓰는 광학 부품입니다.","배율 조준경과 정밀 모듈의 제작 재료로 쓰는 광학 부품입니다.","An optical part used to build magnified scopes and precision modules."
"고속 탄창과 전술 부품의 제작 재료로 쓰는 기계 부품입니다.","고속 탄창과 전술 부품의 제작 재료로 쓰는 기계 부품입니다.","A mechanical part used to build fast magazines and tactical gear."
"+31 이후 강화와 돌파에 드는 희귀 부품입니다. 엘리트·봉인 보급함에서 나옵니다.","+31 이후 강화와 돌파에 드는 희귀 부품입니다. 엘리트·봉인 보급함에서 나옵니다.","A rare part spent on enhancement and breakthrough past +31. Drops from elites and sealed caches."
"+61 이후 강화와 +50 이상 돌파에 드는 희귀 부품입니다. 보스·봉쇄선 금고에서 나옵니다.","+61 이후 강화와 +50 이상 돌파에 드는 희귀 부품입니다. 보스·봉쇄선 금고에서 나옵니다.","A rare part spent on enhancement past +61 and breakthroughs above +50. Drops from bosses and cordon vaults."
"총기 부착물 제작에 쓰는 핵심 제작 재료입니다.","총기 부착물 제작에 쓰는 핵심 제작 재료입니다.","A core material for building weapon attachments."
"소총 제작 청사진","소총 제작 청사진","Rifle Blueprint"
"산탄총 제작 청사진","산탄총 제작 청사진","Shotgun Blueprint"
"AKM 개조 청사진","AKM 개조 청사진","AKM Conversion Blueprint"
"펌프 산탄총 청사진","펌프 산탄총 청사진","Pump Shotgun Blueprint"
"봉인구역 키카드","봉인구역 키카드","Sealed Zone Keycard"
"남대문 창고 설계도","남대문 창고 설계도","Namdaemun Depot Plans"
"을지로 배전 도면","을지로 배전 도면","Euljiro Grid Schematic"
"용산 통제 키","용산 통제 키","Yongsan Control Key"
"작업대 제작 해금 조각 — 3조각이 모이면 만들 수 있습니다(%s).","작업대 제작 해금 조각 — 3조각이 모이면 만들 수 있습니다(%s).","A shard that unlocks a workbench recipe — 3 shards and you can build it (%s)."
"장인의 인장 — +10·+20·… 강화 돌파 1회에 1개. 보스·메인 미션 3단계에서 나옵니다.","장인의 인장 — +10·+20·… 강화 돌파 1회에 1개. 보스·메인 미션 3단계에서 나옵니다.","Artisan's Seal — one per breakthrough at +10, +20 and so on. Drops from bosses and main mission stage 3."
"AK 계열 소총(AKM 개조형) 제작법을 해금하는 희귀 청사진입니다.","AK 계열 소총(AKM 개조형) 제작법을 해금하는 희귀 청사진입니다.","A rare blueprint that unlocks the AK-family rifle (AKM conversion) recipe."
"고화력 산탄총 제작법을 해금하는 희귀 청사진입니다.","고화력 산탄총 제작법을 해금하는 희귀 청사진입니다.","A rare blueprint that unlocks the high-power shotgun recipe."
"작업대에서 AKM 개조형을 만들 수 있습니다. 첫 제작 시 AK-47 강화의 60%를 이어받습니다.","작업대에서 AKM 개조형을 만들 수 있습니다. 첫 제작 시 AK-47 강화의 60%를 이어받습니다.","Lets you build the AKM Conversion at the workbench. The first build carries over 60% of your AK-47 enhancement."
"작업대에서 펌프 산탄총을 만들 수 있습니다. 첫 제작 시 참치 헌터 강화의 60%를 이어받습니다.","작업대에서 펌프 산탄총을 만들 수 있습니다. 첫 제작 시 참치 헌터 강화의 60%를 이어받습니다.","Lets you build the Pump Shotgun at the workbench. The first build carries over 60% of your Tuna Hunter enhancement."
"Stage 4 봉인구역 진입에 필요한 보안 키카드입니다.","Stage 4 봉인구역 진입에 필요한 보안 키카드입니다.","The security keycard needed to enter the Stage 4 sealed zone."
"쉘터 Tier 3 확장에 필요한 설계도입니다.","쉘터 Tier 3 확장에 필요한 설계도입니다.","The plans needed for Shelter Tier 3."
"쉘터 Tier 4 확장에 필요한 배전 도면입니다.","쉘터 Tier 4 확장에 필요한 배전 도면입니다.","The grid schematic needed for Shelter Tier 4."
"쉘터 Tier 5 확장에 필요한 통제 키입니다.","쉘터 Tier 5 확장에 필요한 통제 키입니다.","The control key needed for Shelter Tier 5."
"상위 스테이지 진행에 사용하는 희귀 물품입니다.","상위 스테이지 진행에 사용하는 희귀 물품입니다.","A rare item used to progress into later stages."
"조준 시 시야와 중거리 집탄율을 개선합니다.","조준 시 시야와 중거리 집탄율을 개선합니다.","Improves sight picture and mid-range grouping while aiming."
"총성을 줄이는 임시 소음기입니다.","총성을 줄이는 임시 소음기입니다.","A field-made suppressor that cuts the report."
"반동 회복과 거치 안정성을 높입니다.","반동 회복과 거치 안정성을 높입니다.","Improves recoil recovery and braced stability."
"재장전 시간을 줄이는 테이프 결합 탄창입니다.","재장전 시간을 줄이는 테이프 결합 탄창입니다.","Taped-together magazines that cut reload time."
"총기 하단에 다는 전술용 방울입니다.","총기 하단에 다는 전술용 방울입니다.","A tactical bell slung under the weapon."
"AK 단발 명중률을 크게 높이는 특수 모듈입니다.","AK 단발 명중률을 크게 높이는 특수 모듈입니다.","A special module that sharply improves AK single-shot accuracy."
"총기 성능을 변경하는 부착물입니다.","총기 성능을 변경하는 부착물입니다.","An attachment that changes weapon performance."
"지도 닫기","지도 닫기","Close map"
"전술 지도","전술 지도","Tactical Map"
"현장","현장","Field"
"가 본 곳만 지도에 남는다 · 탭하면 표식, 다시 탭하면 삭제 · 보는 동안 전투는 멈춘다","가 본 곳만 지도에 남는다 · 탭하면 표식, 다시 탭하면 삭제 · 보는 동안 전투는 멈춘다","Only what you have walked stays on the map · tap to mark, tap again to erase · combat pauses while you look"
"가 본 곳만 지도에 남는다 · 클릭하면 표식, 우클릭하면 삭제 · 보는 동안 전투는 멈춘다","가 본 곳만 지도에 남는다 · 클릭하면 표식, 우클릭하면 삭제 · 보는 동안 전투는 멈춘다","Only what you have walked stays on the map · click to mark, right-click to erase · combat pauses while you look"
"고가치 지점","고가치 지점","High-value spot"
"분실 장비","분실 장비","Lost gear"
"개인 표식","개인 표식","Your mark"
"위험 개체","위험 개체","Dangerous target"
"내 위치  %s","내 위치  %s","You are here  %s"
"목표","목표","Objective"
"탈출구","탈출구","Exit"
"위험","위험","Danger"
"표식","표식","Mark"
"탈출구 미발견 · 직접 찾아야 합니다","탈출구 미발견 · 직접 찾아야 합니다","No exit found · you have to find one"
"회수 가치 %s","회수 가치 %s","Bag value %s"
"발견 탈출구 %.0fm","발견 탈출구 %.0fm","Nearest exit %.0fm"
"표시 및 조작 설정","표시 및 조작 설정","Display and Controls"
"자동 저장 · F10으로 열기","자동 저장 · F10으로 열기","Auto-saved · open with F10"
"설정 닫기","설정 닫기","Close settings"
"언어","언어","Language"
"표시","표시","Display"
"소리","소리","Sound"
"안내","안내","Guidance"
"안내를 처음부터 다시 보여줍니다.","안내를 처음부터 다시 보여줍니다.","Guidance will start over from the beginning."
"데이터","데이터","Data"
"색상만으로 상태를 구분하지 않으며 아이콘과 문자를 함께 표시합니다.","색상만으로 상태를 구분하지 않으며 아이콘과 문자를 함께 표시합니다.","State is never shown by color alone — icons and text come with it."
"취소","취소","Cancel"
"초기화했습니다. 오프닝부터 다시 시작합니다.","초기화했습니다. 오프닝부터 다시 시작합니다.","Reset. Starting over from the opening."
"모든 시설을 해금했습니다.","모든 시설을 해금했습니다.","All facilities unlocked."
"화면 언어","화면 언어","Interface language"
"바꾸면 이 설정 화면은 바로, 다른 화면은 다시 열 때 반영됩니다.","바꾸면 이 설정 화면은 바로, 다른 화면은 다시 열 때 반영됩니다.","This screen changes at once; other screens change the next time you open them."
"생존자 등록","생존자 등록","Survivor Registration"
